crefo	date	node
2030194842	2014-01-14T20:10:50Z	Bis zum Jahr 2016 sollte in der arabischen Wüste die erste klimaneutrale Stadt der Welt, Masdar City, entstehen. 50.000 Menschen sollen dann in Masdar-City ihre Energie vor allem aus Solarkraftwerken beziehen, sich mit Elektromobilen zwischen intelligent gebauten Häusern bewegen und ihren Müll komplett recyceln. Doch vereinzelte Rücktritte von Masdar-Managern nähren nun Gerüchte, dass das ambitionierte Projekt im wahrsten Sinne des Wortes im Sande verlaufen könnte. Waren die Ziele für das 22-Milliarden-Dollar-Projekt zu hoch gesteckt?
2030194842	2014-07-29T02:01:28Z	Leider ist die Halbwertszeit des menschlichen Gedächtnisses kleiner als die der atomaren Strahlung! Fukushima wird immer mehr verdrängt, weshalb auch sicher die Akzeptanz der Erneuerbaren Energien im Zeitverlauf wieder abnimmt. Eine traurige Geschichte, wo doch die Energiewende in Bürgerhand liegt. Daher wünsche ich allen Energiewende-Kämpfern Ausdauer, Kraft und Mut. Denn Klimaschutz kostet Opfer, aber kein Klimaschutz kostet mehr - nämlich die Zukunft unserer Erde.
2030194842	2014-07-29T01:43:58Z	Die Deutsche Gesellschaft Club of Rome und der Hamburger Klimaschutz-Fonds nahmen diese Idee im Jahr 2003 wieder auf, gründeten die Trans-Mediterranean Renewable Energy Cooperation (TREC) und zeichneten das erste Bild eines Stromverbundes über die gesamte Region Europa, Mittlerer Osten und Nordafrika (EUMENA), in dem erneuerbare Energiequellen dort genutzt werden, wo die meiste Energie verfügbar ist, um Strom dann über
2030194842	2014-07-29T01:58:23Z	Aber der Wettstreit der Strategien ist durchschaubar, wie ein Gedankenspiel mit den drei unstrittigen Zielen - Klimaschutz, Versorgungssicherheit, Bezahlbarkeit – offenbart. Die einzige Regel:
5170246136	2014-06-11T20:52:54Z	Steuler honours its obligation with respect to future generations and uses natural resources responsibly. Our dedication to quality and protecting the environment determine our corporate activities. Consequently, we are committed to energy management, participate in numerous quality certification processes and support the sustainability initiative of the chemical industry. With our certification according to ISO 14001, we regularly demonstrate the continuous further development and enhancement of our environmental commitment. The careful selection of high-quality raw materials in accordance with strict codices is for us a matter of course. With our certification according to the Safety Checklist for Contractors (SCC) we ensure that we are a reliable partner for our customers and on construction sites, also in the fields of health, safety and environmental protection.
5170246136	2014-06-29T07:02:59Z	Steuler steht zu seiner Verpflichtung gegenüber nachfolgenden Generationen und setzt die natürlichen Ressourcen verantwortungsvoll ein. Das Bekenntnis zur Qualität und der Schutz der Umwelt bestimmen unser unternehmerisches Handeln. Deshalb verpflichten wir uns zum Energiemanagement, nehmen an zahlreichen Qualitäts-Zertifizierungen teil und unterstützen die Nachhaltigkeitsinitiative der chemischen Industrie. Mit der Zertifizierung nach ISO 14001 weisen wir regelmäßig die kontinuierliche Weiterentwicklung unseres Umweltmanagementsystems und die Verbesserung unserer Umweltleistung nach. Die sorgfältige Auswahl hochwertiger Rohstoffe und deren Beschaffung unter Beachtung strenger Kodizes sind für uns selbstverständlich. Mit der Zertifizierung nach der SCC Checkliste (Sicherheits Certifikat Contraktoren ) stellen wir sicher, dass wir für unsere Kunden und auf Baustellen ein zuverlässiger Partner auch im Bereich Sicherheit, Gesundheit und Umweltschutz sind.
2150931053	2014-03-06T05:53:33Z	Maersk Line is on average 5-15% more energy efficient (Clean Cargo Working Group data) than our competitors, therefore shipping with Maersk Line has a lower carbon footprint than shipping with our competitors. This applies to reefer containers as well as all other container types shipped with Maersk Line. For our reefer containers, we have made investments towards innovation of the control systems our reefer containers use, to reduce the energy consumed in order to keep the cargo at the desired temperature (QUEST software).
2150931053	2014-03-06T05:53:33Z	Quest II is our latest initiative to maintain cargo quality, and at same time reduce CO2 emissions from our reefer containers. It is new software developed to control the refrigeration system on Maersk Line’s reefers. Quest II is unique to Maersk. Applying Quest II to all Maersk Line existing and new build reefers assist to improve our client's carbon footprint from transportation. It is a simple act with high impact.
2150931053	2014-03-06T05:53:37Z	By innovative designs, we’ve reduced the carbon footprint of our ocean vessels by almost 50 percent. It’s difficult to do the same on land but that doesn’t mean we’re not trying.
2150931053	2014-03-06T05:53:37Z	For example, we’re currently optimizing our train transportation options in order to reduce the number of trucks on the roads. Thereby reducing our carbon footprint even more.
2151206380	2014-07-07T23:31:11Z	In addition to improving engine efficiency as well as lowering fuel related carbon footprint, Shell Diesel Extra also helps prevent fuel system corrosion and reduces foaming when refueling, thereby reducing maintenance costs and downtime.
2151206380	2014-01-13T00:55:29Z	Sadaf is both an ISO 9002 and ISO 14001 compliant company.
2151206380	2014-01-21T19:27:19Z	In UAE, Shell has introduced Shell Diesel Extra to help commercial fleet operators save fuel, help their engines operate more efficiently and help lower their fleet’s fuel related carbon footprint.
2151206380	2014-03-24T03:37:08Z	De acordo com um distribuidor de auto peças internacional (Car Parts Direct), um em cada oito motoristas pode estar dirigindo com freios em condições ilegais ou perigosas.
2151206380	2014-03-24T03:37:08Z	A empresa também afirmou que 85% dos motoristas não sabem como verificar a segurança de discos e pastilhas. É difícil, mas alguns problemas com freios são mais fáceis de perceber que outros. Por exemplo, se você sentir vibrações no pedal de freio, isso pode ser o resultado de discos de freio empenados.
