crefo	date	node
2030194842	2010-02-18T09:02:15Z	"Belo Monte hat eine geplante Kapazität von 11.200 Megawatt, gewatliger wären demnach nur noch der Drei-Schluchten-Staudamm in China und das Kraftwerk Itaipu im brasilianisch-paraguayanischen Grenzgebiet. Diese Kapazität zur Stromerzeugung ist vergleichbar mit bis zu acht großen Kernkraftwerken oder 16 mittleren Kohlekraftwerken und relativiert die Gegenargumente. Das gilt besonders für Zeiten des Klimawandels, in denen alle ihren Strom am liebsten CO2-frei erzeugen wollen. Denn  einmal gebaut, erzeugen die großen Wasserkraftwerke auf Jahrzehnte klimafreundlichen Strom. Und das ausgesprochen günstig, wie das Beispiel Itaipu im brasilianisch-paraguanischen Grenzgebiet mit Kosten von etwa vier Eurocent pro Kilowattstunde zeigt. ""Große Wasserkraftwerke sind immer noch sehr klima- und umweltfreundlich im Vergleich zu Kohle- oder Kernkraftwerken"", ist Cicero Bley, Koordinator des Brasilianischen Observatoriums für Erneuerbare Energien, überzeugt. Da sich etwa zwölf Prozent der weltweiten Süßwasserreserven in Brasiliens Flüssen sammele, müsse diese Ressource auch entsprechend genutzt werden, so der Energieexperte. Diese Denke ist in Brasilien oft anzutreffen und wird nur von einer Minderheit in Frage gestellt."
2030194842	2010-02-18T09:02:15Z	Umweltschutz vor Ort oder Mengen an CO2-freiem und klimafreundlichen Strom? Beide Ziele können mit großen Wasserkraftwerken nicht gleichzeitig erreicht werden. Sollten sie dennoch gebaut werden, müssen die Umweltfolgen nach bestem Wissen eingeschränkt werden. Bei den zu erwartenden Profiten wäre dazu auch genug Geld vorhanden. Ob es auch entsprechend investiert wird, kann wiederum angezweifelt werden. Hin- und hergerissen zwischen den Argumenten muss leider auch ich Ihnen eine eindeutige Antwort auf diese Frage schuldig bleiben. Aber gespannt bin ich auf Ihre Einschätzungen und Meinungen zu diesem Thema.
2030194842	2010-05-13T06:21:06Z	Energieträger Wassserstoff klimaneutral herstellen
2030194842	2010-05-13T06:21:06Z	Offensichtlich sind noch einige Hürden auf dem Weg zur künstlichen Photosynthese in den kommenden Jahren zu nehmen. Aber die Anstrengungen können sich lohnen. Denn der Energieträger Wasserstoff wird nur eine Zukunft haben, wenn er klimaneutral und günstig gewonnen werden kann. Das funktioniert heute prinzipiell durch die Elektrolyse, bei der regenerativ erzeugter Strom für die Spaltung von Wassermolekülen genutzt wird. Günstiger und daher weiter verbreitet ist bislang die Wasserstoffgewinnung aus fossilem Erdgas. Eine effiziente künstliche Photosynthese hätte das Potenzial, diese beiden konventionellen Methoden zu verdrängen.
2030194842	2010-04-07T23:49:31Z	By 2016, the world's first climate-neutral city - Masdar City - is set to emerge from the sands of the Arabian desert. By that date, 50,000 people in Masdar City should be able to meet their energy needs from solar power stations, to move between their 'intelligent-design' houses in electrically-powered cars, and to recycle all their household waste. Nevertheless, isolated cases of Masdar managers resigning their posts are starting to fuel rumours that this ambitious project may, quite literally, be running itself back into the sand. Were the goals of this 22-billion-dollar project perhaps set too high?
2030194842	2010-05-02T00:50:41Z	In January 2010, wind farms in Germany had a generating capacity of 25,777 megawatts. This means that almost eight percent of Germany's electricity requirement can be met in a climate-neutral way. However, since land areas exposed to strong winds are limited, both large and small-scale power-generating businesses are jostling for position out in the open sea. This poses a simple question: are offshore wind farms genuinely more efficient?
2030194842	2010-01-06T21:42:11Z	an drängenden gesellschaftlich relevanten Fragen wie Umwelt- und Klimaschutz, nachhaltige Entwicklung, Gesundheit und Sicherheit des Bürgers;
2030194842	2010-02-18T17:54:02Z	GMES ist eine gemeinsame Initiative der Europäischen Union (EU) und der Europäischen Raumfahrtagentur (ESA) für globale Umwelt- und Sicherheitsüberwachung. Basierend auf bereits bestehenden Erdbeobachtungstechnologien ist es das vorrangige Ziel von GMES, eine eigenständige und dauerhafte Infrastruktur in Europa zu schaffen, die operationelle Geoinformationsservices für die Umweltüberwachung und die zivile Sicherheit zur Verfügung stellt. Diese Services sind an die Bedürfnisse der Nutzer angepasst und decken vorrangig die Bereiche Umwelt, Klimaschutz, nachhaltige Entwicklung, humanitäre Hilfe sowie sicherheitsrelevante Themen ab.
2030194842	2010-06-05T01:38:41Z	GMES ist eine gemeinsame Initiative der Europäischen Union (EU) und der Europäischen Raumfahrtagentur (ESA). Basierend auf bereits bestehenden und neuen Erdbeobachtungstechnologien soll GMES operationelle Geoinformationsdienste für Umweltüberwachung und zivile Sicherheit zur Verfügung aufbauen. Diese Services sind an die Bedürfnisse der Nutzer angepasst und decken vorrangig die Bereiche Umwelt, Klimaschutz, nachhaltige Entwicklung, humanitäre Hilfe sowie sicherheitsrelevante Themen ab. Das Cluster AF ist an der Definition, dem Aufbau und dem Betrieb aller GMES Komponenten beteiligt. Es bringt seine Kompetenz und seine Systeme im integrierten Bodensegment, in der Informationstechnologie und in den Geoinformationsanwendungen auf nationaler und europäischer Ebene in GMES ein.
2010002937	2010-01-29T21:07:59Z	Certificate management system as per EN ISO 14001:2004
